country_code,country,year,Electricity_Access_Pct,Internet_Users_Pct,Mobile_Subscriptions_Per100
BDI,Burundi,2010,5.3,1.0,17.8962195049637
BDI,Burundi,2011,6.2,1.110000014,19.7014852266593
BDI,Burundi,2012,6.5,1.220000029,22.3127768088819
BDI,Burundi,2013,6.9,1.2642181112,24.3006814319026
BDI,Burundi,2014,7.0,1.04239212643994,29.567783062348
BDI,Burundi,2015,7.9,2.0,45.2379254099088
BDI,Burundi,2016,8.5,2.200000048,47.6697304877258
BDI,Burundi,2017,9.3,2.6607485347534,51.4533280518012
BDI,Burundi,2018,9.5,4.019499779,53.2736942349584
BDI,Burundi,2019,9.8,6.072199821,53.2995504978403
BDI,Burundi,2020,9.1,6.430099964,52.5571219738138
BDI,Burundi,2021,10.2,6.777999878,59.700785493419
BDI,Burundi,2022,10.3,7.144800186,56.2599912004244
BDI,Burundi,2023,11.6,7.172299862,63.1631365759764
BDI,Burundi,2024,20.1,8.595999718,
ETH,Ethiopia,2010,25.5,0.75,7.57025899497312
ETH,Ethiopia,2011,23.0,1.100000024,15.1655003216856
ETH,Ethiopia,2012,29.0,2.900000095,21.4239594545095
ETH,Ethiopia,2013,30.8,4.599999905,26.0536269908585
ETH,Ethiopia,2014,27.2,7.699999809,30.1536033852735
ETH,Ethiopia,2015,29.0,13.8551755555556,40.7363012371526
ETH,Ethiopia,2016,42.9,15.3669238595896,47.9993274246983
ETH,Ethiopia,2017,44.3,15.62440014,36.1094836260863
ETH,Ethiopia,2018,44.8,15.88619995,
ETH,Ethiopia,2019,48.0,15.98460007,36.2199307720652
ETH,Ethiopia,2020,51.1,16.06959915,37.4208472347226
ETH,Ethiopia,2021,54.2,16.6981031,52.8088633217211
ETH,Ethiopia,2022,55.0,17.9836998,56.9642988837987
ETH,Ethiopia,2023,55.4,20.33749962,59.8748744402242
ETH,Ethiopia,2024,56.6,21.94129944,65.0825091944922
KEN,Kenya,2010,19.2,7.2,60.0234402305252
KEN,Kenya,2011,36.2,8.800000191,65.6730161546273
KEN,Kenya,2012,38.1,10.5,70.0226527327794
KEN,Kenya,2013,40.1,13.0,70.7541086893706
KEN,Kenya,2014,36.0,16.5,73.0327455558393
KEN,Kenya,2015,41.6,16.5878548475992,80.0958263165851
KEN,Kenya,2016,53.1,16.6,80.9772361004341
KEN,Kenya,2017,55.8,17.82710075,87.026530838819
KEN,Kenya,2018,61.2,19.5,98.5944679106884
KEN,Kenya,2019,69.7,22.6687733618171,106.547822056778
KEN,Kenya,2020,71.5,24.7227993,117.602526394779
KEN,Kenya,2021,76.5,26.96290016,122.297519656734
KEN,Kenya,2022,76.0,29.40589905,121.168999135357
KEN,Kenya,2023,76.2,32.07040024,120.612416887959
KEN,Kenya,2024,77.0,34.97622513,126.477706000949
RWA,Rwanda,2010,9.7,8.0,34.395374562166
RWA,Rwanda,2011,10.8,7.0,42.049425685328
RWA,Rwanda,2012,17.5,8.023900032,52.5466576287262
RWA,Rwanda,2013,15.2,9.0,60.2988640030865
RWA,Rwanda,2014,19.8,10.60000038,68.1670448387062
RWA,Rwanda,2015,22.8,12.45600033,75.2543165296423
RWA,Rwanda,2016,29.4,14.63710022,74.8502057565523
RWA,Rwanda,2017,34.1,17.2,72.2764598764471
RWA,Rwanda,2018,38.0,19.16659927,77.679469147812
RWA,Rwanda,2019,46.6,21.3579998,75.5985451901883
RWA,Rwanda,2020,45.2,23.8,81.2378724761376
RWA,Rwanda,2021,48.7,24.4416008,81.6381635400584
RWA,Rwanda,2022,50.6,28.01679993,80.5952224850433
RWA,Rwanda,2023,63.9,28.80579948,91.4622704078141
RWA,Rwanda,2024,72.0,31.70330048,93.201462876722
SOM,"Somalia, Fed. Rep.",2010,52.3,,5.28635539640489
SOM,"Somalia, Fed. Rep.",2011,52.0,1.25,14.5762796961332
SOM,"Somalia, Fed. Rep.",2012,51.8,1.376700044,18.457350680033
SOM,"Somalia, Fed. Rep.",2013,51.5,1.5,40.2732207402969
SOM,"Somalia, Fed. Rep.",2014,51.4,1.629999995,41.2309585125849
SOM,"Somalia, Fed. Rep.",2015,51.2,1.75999999,42.2685278435236
SOM,"Somalia, Fed. Rep.",2016,51.1,1.879999995,46.366719307758
SOM,"Somalia, Fed. Rep.",2017,52.1,,47.725260177752
SOM,"Somalia, Fed. Rep.",2018,50.7,,49.5262671956948
SOM,"Somalia, Fed. Rep.",2019,49.2,2.731400013,51.3194116563494
SOM,"Somalia, Fed. Rep.",2020,49.9,15.02369976,53.1133178401473
SOM,"Somalia, Fed. Rep.",2021,49.3,23.87479973,51.2059481348129
