country_code,country,year,internet_users,mobile_subscriptions,electricity_access,digital_gap
BDI,Burundi,2010,1.0,17.8962195049637,5.3,16.8962195049637
BDI,Burundi,2011,1.110000014,19.7014852266593,6.2,18.5914852126593
BDI,Burundi,2012,1.220000029,22.3127768088819,6.5,21.0927767798819
BDI,Burundi,2013,1.2642181112,24.3006814319026,6.9,23.0364633207026
BDI,Burundi,2014,1.04239212643994,29.567783062348,7.0,28.52539093590806
BDI,Burundi,2015,2.0,45.2379254099088,7.9,43.2379254099088
BDI,Burundi,2016,2.200000048,47.6697304877258,8.5,45.4697304397258
BDI,Burundi,2017,2.6607485347534,51.4533280518012,9.3,48.7925795170478
BDI,Burundi,2018,4.019499779,53.2736942349584,9.5,49.2541944559584
BDI,Burundi,2019,6.072199821,53.2995504978403,9.8,47.2273506768403
BDI,Burundi,2020,6.430099964,52.5571219738138,9.1,46.1270220098138
BDI,Burundi,2021,6.777999878,59.700785493419,10.2,52.922785615418995
BDI,Burundi,2022,7.144800186,56.2599912004244,10.3,49.115191014424404
BDI,Burundi,2023,7.172299862,63.1631365759764,11.6,55.9908367139764
BDI,Burundi,2024,8.595999718,,20.1,
KEN,Kenya,2010,7.2,60.0234402305252,19.2,52.8234402305252
KEN,Kenya,2011,8.800000191,65.6730161546273,36.2,56.8730159636273
KEN,Kenya,2012,10.5,70.0226527327794,38.1,59.522652732779406
KEN,Kenya,2013,13.0,70.7541086893706,40.1,57.7541086893706
KEN,Kenya,2014,16.5,73.0327455558393,36.0,56.5327455558393
KEN,Kenya,2015,16.5878548475992,80.0958263165851,41.6,63.5079714689859
KEN,Kenya,2016,16.6,80.9772361004341,53.1,64.37723610043409
KEN,Kenya,2017,17.82710075,87.026530838819,55.8,69.199430088819
KEN,Kenya,2018,19.5,98.5944679106884,61.2,79.0944679106884
KEN,Kenya,2019,22.6687733618171,106.547822056778,69.7,83.8790486949609
KEN,Kenya,2020,24.7227993,117.602526394779,71.5,92.87972709477901
KEN,Kenya,2021,26.96290016,122.297519656734,76.5,95.33461949673399
KEN,Kenya,2022,29.40589905,121.168999135357,76.0,91.763100085357
KEN,Kenya,2023,32.07040024,120.612416887959,76.2,88.542016647959
KEN,Kenya,2024,34.97622513,126.477706000949,77.0,91.501480870949
RWA,Rwanda,2010,8.0,34.395374562166,9.7,26.395374562165998
RWA,Rwanda,2011,7.0,42.049425685328,10.8,35.049425685328
RWA,Rwanda,2012,8.023900032,52.5466576287262,17.5,44.5227575967262
RWA,Rwanda,2013,9.0,60.2988640030865,15.2,51.2988640030865
RWA,Rwanda,2014,10.60000038,68.1670448387062,19.8,57.56704445870621
RWA,Rwanda,2015,12.45600033,75.2543165296423,22.8,62.798316199642294
RWA,Rwanda,2016,14.63710022,74.8502057565523,29.4,60.2131055365523
RWA,Rwanda,2017,17.2,72.2764598764471,34.1,55.0764598764471
RWA,Rwanda,2018,19.16659927,77.679469147812,38.0,58.512869877812
RWA,Rwanda,2019,21.3579998,75.5985451901883,46.6,54.2405453901883
RWA,Rwanda,2020,23.8,81.2378724761376,45.2,57.4378724761376
RWA,Rwanda,2021,24.4416008,81.6381635400584,48.7,57.1965627400584
RWA,Rwanda,2022,28.01679993,80.5952224850433,50.6,52.57842255504329
RWA,Rwanda,2023,28.80579948,91.4622704078141,63.9,62.6564709278141
RWA,Rwanda,2024,31.70330048,93.201462876722,72.0,61.49816239672201
SOM,"Somalia, Fed. Rep.",2010,,5.28635539640489,52.3,
SOM,"Somalia, Fed. Rep.",2011,1.25,14.5762796961332,52.0,13.3262796961332
SOM,"Somalia, Fed. Rep.",2012,1.376700044,18.457350680033,51.8,17.080650636033
SOM,"Somalia, Fed. Rep.",2013,1.5,40.2732207402969,51.5,38.7732207402969
SOM,"Somalia, Fed. Rep.",2014,1.629999995,41.2309585125849,51.4,39.6009585175849
SOM,"Somalia, Fed. Rep.",2015,1.75999999,42.2685278435236,51.2,40.5085278535236
